[2025-07-14 19:04:12.171] Messages: 0, Opportunities: 0, Trades: 0, Avg Latency: 0.00ms, Max Latency: 0.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:03.179] Messages: 50, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:04.179] Messages: 51, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:05.179] Messages: 52, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:06.179] Messages: 53, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:07.180] Messages: 54, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:08.180] Messages: 55, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:09.180] Messages: 56, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:10.180] Messages: 57, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:11.180] Messages: 58, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:12.180] Messages: 59, Opportunities: 5, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:13.180] Messages: 60, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:14.181] Messages: 61, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:15.181] Messages: 62, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:16.181] Messages: 63, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:17.181] Messages: 64, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:18.181] Messages: 65, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:19.181] Messages: 66, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:20.182] Messages: 67, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:21.182] Messages: 68, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:22.182] Messages: 69, Opportunities: 6, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:23.182] Messages: 70, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:24.182] Messages: 71, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:25.182] Messages: 72, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:26.182] Messages: 73, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:27.183] Messages: 74, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:28.183] Messages: 75, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:29.183] Messages: 76, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:30.183] Messages: 77, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:31.183] Messages: 78, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:32.183] Messages: 79, Opportunities: 7, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:33.183] Messages: 80, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:34.184] Messages: 81, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:35.184] Messages: 82, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:36.184] Messages: 83, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:37.184] Messages: 84, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:38.184] Messages: 85, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:39.184] Messages: 86, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:40.185] Messages: 87, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:41.185] Messages: 88, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:42.185] Messages: 89, Opportunities: 8, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:43.185] Messages: 90, Opportunities: 9, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:44.185] Messages: 91, Opportunities: 9, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:45.185] Messages: 92, Opportunities: 9, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:46.185] Messages: 93, Opportunities: 9, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
[2025-07-14 19:05:47.186] Messages: 94, Opportunities: 9, Trades: 0, Avg Latency: 5.00ms, Max Latency: 5.00ms, Memory: 9.73MB, CPU: 0.00%
